sender , message_sent_to , message  , time    , sent_by_me
Ms. Shikha Verma,Mr. Himanshu Dohan,heyy,2018-02-12 20:38:04.681000,True
Ms. Shikha Verma,Ms. Shruti Sharma,2929,2018-02-12 20:41:25.715000,True
Ms. Shikha Verma,Mr. Himanshu Dohan,save me!,2018-02-15 17:17:59.409000,True
Ms. Shikha Verma,Ms. Kanika Kapoor,save me please..I'm in danger,2018-02-16 23:58:48.146000,True
Ms. Shikha Verma,Ms. Ritu Saxena,help me please!!!,2018-02-17 00:02:02.454000,True
Ms. Shikha Verma,Ms. Kanika Kapoor,accident is here,2018-02-17 00:09:02.627000,True
Ms. Shikha Verma,Ms. Ritu Saxena,alert..save me please,2018-02-17 12:47:45.458000,True
Ms. Shikha Verma,Mr. Ronit Ahuja,save sakshi please,2018-02-17 12:52:01.793000,True
Ms. Shikha Verma,Ms. Kanika Kapoor,heyy,2018-02-17 12:57:03.740000,True
Ms. Shikha Verma,Mr. Ronit Ahuja,accident is $#$%^,2018-02-17 12:57:49.022000,True

Ms. Sanaya Gupta,Ms. Ritu Saxena,you are ^%$#%%,2018-02-17 22:08:28.893000,True
Ms. Shikha Verma,Ms. Shruti Sharma,there is high alert,2018-02-17 22:10:35.874000,True
Ms. Shikha Verma,Ms. Shruti Sharma,omg sos ,2018-02-17 22:13:47.733000,True
Ms. Shikha Verma,Mr. Himanshu Dohan,rescue me $%%^&%,2018-02-18 10:10:40.872000,True
